file_name,id,age_YYMMDD,date_YYYYMMDD,gender,timestamp_HHMMSS,percents_voc,researcher_present,sleeping
267-12mo_01-01-2013_0238.wav,267-12mo,1/1/13,1/1/14,male,01:59:00,0,0,1
267-12mo_01-01-2013_0239.wav,267-12mo,1/1/13,1/1/14,male,01:59:30,0,0,1
267-12mo_01-01-2013_0240.wav,267-12mo,1/1/13,1/1/14,male,02:00:00,0,0,1
267-12mo_01-01-2013_0241.wav,267-12mo,1/1/13,1/1/14,male,02:00:30,0,0,1
267-12mo_01-01-2013_0242.wav,267-12mo,1/1/13,1/1/14,male,02:01:00,0,0,1
267-12mo_01-01-2013_0243.wav,267-12mo,1/1/13,1/1/14,male,02:01:30,0,0,1
267-12mo_01-01-2013_0244.wav,267-12mo,1/1/13,1/1/14,male,02:02:00,0,0,1
267-12mo_01-01-2013_0245.wav,267-12mo,1/1/13,1/1/14,male,02:02:30,0,0,1
267-12mo_01-01-2013_0246.wav,267-12mo,1/1/13,1/1/14,male,02:03:00,0,0,1
267-12mo_01-01-2013_0247.wav,267-12mo,1/1/13,1/1/14,male,02:03:30,0,0,1
267-12mo_01-01-2013_0248.wav,267-12mo,1/1/13,1/1/14,male,02:04:00,0,0,1
267-12mo_01-01-2013_0249.wav,267-12mo,1/1/13,1/1/14,male,02:04:30,0,0,1
267-12mo_01-01-2013_0250.wav,267-12mo,1/1/13,1/1/14,male,02:05:00,0,0,1
267-12mo_01-01-2013_0251.wav,267-12mo,1/1/13,1/1/14,male,02:05:30,0,0,1
267-12mo_01-01-2013_0252.wav,267-12mo,1/1/13,1/1/14,male,02:06:00,0,0,1
267-12mo_01-01-2013_0253.wav,267-12mo,1/1/13,1/1/14,male,02:06:30,0.000333333,0,1
267-12mo_01-01-2013_0254.wav,267-12mo,1/1/13,1/1/14,male,02:07:00,0,0,1
267-12mo_01-01-2013_0255.wav,267-12mo,1/1/13,1/1/14,male,02:07:30,0,0,1
267-12mo_01-01-2013_0256.wav,267-12mo,1/1/13,1/1/14,male,02:08:00,0.004666667,0,1
267-12mo_01-01-2013_0257.wav,267-12mo,1/1/13,1/1/14,male,02:08:30,0,0,1
267-12mo_01-01-2013_0258.wav,267-12mo,1/1/13,1/1/14,male,02:09:00,0,0,1
267-12mo_01-01-2013_0259.wav,267-12mo,1/1/13,1/1/14,male,02:09:30,0,0,1
267-12mo_01-01-2013_0260.wav,267-12mo,1/1/13,1/1/14,male,02:10:00,0,0,1
267-12mo_01-01-2013_0261.wav,267-12mo,1/1/13,1/1/14,male,02:10:30,0,0,1
267-12mo_01-01-2013_0262.wav,267-12mo,1/1/13,1/1/14,male,02:11:00,0,0,1
267-12mo_01-01-2013_0263.wav,267-12mo,1/1/13,1/1/14,male,02:11:30,0,0,1
267-12mo_01-01-2013_0264.wav,267-12mo,1/1/13,1/1/14,male,02:12:00,0,0,1
267-12mo_01-01-2013_0265.wav,267-12mo,1/1/13,1/1/14,male,02:12:30,0,0,1
267-12mo_01-01-2013_0266.wav,267-12mo,1/1/13,1/1/14,male,02:13:00,0,0,1
267-12mo_01-01-2013_0267.wav,267-12mo,1/1/13,1/1/14,male,02:13:30,0,0,1
267-12mo_01-01-2013_0268.wav,267-12mo,1/1/13,1/1/14,male,02:14:00,0,0,1
267-12mo_01-01-2013_0269.wav,267-12mo,1/1/13,1/1/14,male,02:14:30,0,0,1
267-12mo_01-01-2013_0270.wav,267-12mo,1/1/13,1/1/14,male,02:15:00,0,0,1
267-12mo_01-01-2013_0271.wav,267-12mo,1/1/13,1/1/14,male,02:15:30,0,0,1
267-12mo_01-01-2013_0272.wav,267-12mo,1/1/13,1/1/14,male,02:16:00,0,0,1
267-12mo_01-01-2013_0273.wav,267-12mo,1/1/13,1/1/14,male,02:16:30,0,0,1
267-12mo_01-01-2013_0274.wav,267-12mo,1/1/13,1/1/14,male,02:17:00,0,0,1
267-12mo_01-01-2013_0275.wav,267-12mo,1/1/13,1/1/14,male,02:17:30,0,0,1
267-12mo_01-01-2013_0276.wav,267-12mo,1/1/13,1/1/14,male,02:18:00,0,0,1
267-12mo_01-01-2013_0277.wav,267-12mo,1/1/13,1/1/14,male,02:18:30,0,0,1
267-12mo_01-01-2013_0278.wav,267-12mo,1/1/13,1/1/14,male,02:19:00,0,0,1
